    2    0    0    0.0983    2.5123    0.0618                                   
    1    0    1    0.1176    2.8665    0.0307                                   
    2    0    1    0.1452    3.0043    0.0934                                   
    3    0    1    0.1822    2.4074    0.0853                                   
    4    0    0    0.1967    2.7313    0.1042                                   
    1    0    2    0.2193    3.6498    0.4781                                   
    2    0    2    0.2353    2.3181    0.0716                                   
    5    0    1    0.2681    0.9776    0.0851                                   
    4    0    2    0.2904    1.8983    0.0398                                   
    6    0    0    0.2950    1.7612    0.0248                                   
    1    0    3    0.3243    1.6971    0.0678                                   
    5    0    2    0.3258    3.3178    0.2968                                   
    2    0    3    0.3353    2.1062    0.2065                                   
    3    0    3    0.3529    1.9131    0.1209                                   
    6    0    2    0.3643    1.5588    0.0340                                   
    4    0    3    0.3761    0.8492    0.2343                                   
    8    0    0    0.3934    1.3979    0.0432                                   
    5    0    3    0.4040    0.4033    0.0431                                   
    2    0    4    0.4386    0.7724    0.0762                                   
    8    0    2    0.4477    1.1831    0.1652                                   
    3    0    4    0.4522    1.4031    0.1357                                   
    4    0    4    0.4705    1.2531    0.1918                                   
                                                                                
    2    0    0    0.1003 -1  0    2.6763    0.2147                             
    1    0    1    0.1196 -1  0    2.8774    0.0181                             
    2    0    1    0.1472 -1  0    2.6856    0.2054                             
    3    0    1    0.1842 -1  0    2.3662    0.1850                             
    4    0    0    0.1987 -1  0    2.7140    0.1122                             
    1    0    2    0.2213 -1  0    2.9586    1.2403                             
    2    0    2    0.2373 -1  0    1.9106    0.2557                             
    5    0    1    0.2701 -1  0    0.7591    0.2043                             
    4    0    2    0.2924 -1  0    1.6567    0.2458                             
    6    0    0    0.2970 -1  0    1.4958    0.3536                             
                                                                                
    0.0000    3.5950                                                            
    0.0050    3.5942                                                            
    0.0100    3.5918                                                            
    0.0150    3.5878                                                            
    0.0200    3.5822                                                            
    0.0250    3.5750                                                            
    0.0300    3.5662                                                            
    0.0350    3.5559                                                            
    0.0400    3.5441                                                            
    0.0450    3.5307                                                            
    0.0500    3.5159                                                            
    0.0550    3.4996                                                            
    0.0600    3.4818                                                            
    0.0650    3.4626                                                            
    0.0700    3.4420                                                            
    0.0750    3.4201                                                            
    0.0800    3.3969                                                            
    0.0850    3.3724                                                            
    0.0900    3.3467                                                            
    0.0950    3.3197                                                            
    0.1000    3.2916                                                            
    0.1050    3.2624                                                            
    0.1100    3.2322                                                            
    0.1150    3.2009                                                            
    0.1200    3.1686                                                            
    0.1250    3.1354                                                            
    0.1300    3.1014                                                            
    0.1350    3.0665                                                            
    0.1400    3.0308                                                            
    0.1450    2.9944                                                            
    0.1500    2.9573                                                            
    0.1550    2.9195                                                            
    0.1600    2.8812                                                            
    0.1650    2.8424                                                            
    0.1700    2.8030                                                            
    0.1750    2.7633                                                            
    0.1800    2.7231                                                            
    0.1850    2.6826                                                            
    0.1900    2.6418                                                            
    0.1950    2.6008                                                            
    0.2000    2.5595                                                            
    0.2050    2.5181                                                            
    0.2100    2.4766                                                            
    0.2150    2.4350                                                            
    0.2200    2.3933                                                            
    0.2250    2.3517                                                            
    0.2300    2.3101                                                            
    0.2350    2.2686                                                            
    0.2400    2.2272                                                            
    0.2450    2.1859                                                            
    0.2500    2.1448                                                            
    0.2550    2.1039                                                            
    0.2600    2.0633                                                            
    0.2650    2.0229                                                            
    0.2700    1.9828                                                            
    0.2750    1.9431                                                            
    0.2800    1.9037                                                            
    0.2850    1.8646                                                            
    0.2900    1.8259                                                            
    0.2950    1.7876                                                            
    0.3000    1.7498                                                            
    0.3050    1.7123                                                            
    0.3100    1.6754                                                            
    0.3150    1.6388                                                            
    0.3200    1.6028                                                            
    0.3250    1.5672                                                            
    0.3300    1.5322                                                            
    0.3350    1.4976                                                            
    0.3400    1.4635                                                            
    0.3450    1.4300                                                            
    0.3500    1.3969                                                            
    0.3550    1.3644                                                            
    0.3600    1.3324                                                            
    0.3650    1.3010                                                            
    0.3700    1.2700                                                            
    0.3750    1.2396                                                            
    0.3800    1.2097                                                            
    0.3850    1.1804                                                            
    0.3900    1.1516                                                            
    0.3950    1.1233                                                            
    0.4000    1.0955                                                            
    0.4050    1.0682                                                            
    0.4100    1.0414                                                            
    0.4150    1.0152                                                            
    0.4200    0.9894                                                            
    0.4250    0.9642                                                            
    0.4300    0.9394                                                            
    0.4350    0.9152                                                            
    0.4400    0.8914                                                            
    0.4450    0.8680                                                            
    0.4500    0.8452                                                            
    0.4550    0.8228                                                            
    0.4600    0.8009                                                            
    0.4650    0.7794                                                            
    0.4700    0.7583                                                            
    0.4750    0.7377                                                            
    0.4800    0.7175                                                            
    0.4850    0.6977                                                            
    0.4900    0.6784                                                            
    0.4950    0.6594                                                            
    0.5000    0.6409                                                            
